distance,width,take_profit,stop_loss,minimum_credit,score,train_trades,train_win_rate,train_net_pnl,train_return_on_capital,train_median_trade,train_worst_trade,train_best_trade,train_profit_factor,train_max_drawdown,train_take_profit_eod_marks,train_stop_loss_eod_marks,train_forced_expiry_or_max_hold,train_negative_conservative_bound_trades,train_deep_conservative_bound_trades,window
0.0175,250,0.7,1.5,10.0,-0.14627889180339798,258,0.7209302325581395,21057.91037757499,0.2105791037757499,842.84159995,-13284.372439325,13679.572329850002,1.0540431466489035,-0.33924616587647427,178,47,33,255,69,2024
0.015,300,0.7,1.25,10.0,-0.14799857158913088,280,0.7107142857142857,56985.166412250015,0.5698516641225001,896.6823458499999,-15869.162523724997,16193.19530095,1.1233955219223224,-0.31938603794731535,181,60,39,275,67,2024
0.0125,250,0.5,1.25,10.0,-0.14810963172286484,305,0.6852459016393443,21832.57062172501,0.21832570621725012,974.0614140999998,-12991.326505774996,17055.535140175,1.0445874391434502,-0.3437492792550436,201,62,42,302,114,2024
0.0125,250,0.6,1.5,10.0,-0.14875529005741053,300,0.6933333333333334,48280.55372355001,0.48280553723550007,1005.0390268375,-12991.326505774996,17055.535140175,1.102209544360092,-0.3496842463788078,193,56,51,297,107,2024
0.0125,150,0.6,1.25,10.0,-0.14877108699561173,292,0.6438356164383562,-29220.788512024974,-0.29220788512024976,740.0277707749998,-9419.55777725,10261.129225749999,0.9226376894001623,-0.359713406466708,166,62,64,290,177,2024
0.015,150,0.7,1.25,10.0,-0.10329205559738025,320,0.684375,9914.511307549985,0.09914511307549985,704.7457523749999,-8717.856919025,7427.052727225001,1.0275264480158084,-0.2850900290562324,201,73,46,318,168,2025
0.015,150,0.7,1.0,10.0,-0.10875921821165664,321,0.6635514018691588,12635.714347774994,0.12635714347774993,673.8674814500001,-8717.856919025,7427.052727225001,1.0363058048574896,-0.29079211878687483,196,81,44,319,164,2025
0.015,150,0.7,1.5,10.0,-0.11195882733185662,318,0.6886792452830188,4278.758736550002,0.04278758736550002,715.92676835,-9285.410123749998,7427.052727225001,1.0118357100524757,-0.2977055775398705,200,67,51,316,167,2025
0.015,150,0.5,1.0,10.0,-0.1148842183680651,331,0.6827794561933535,-11901.771105275002,-0.11901771105275002,627.35615945,-8717.856919025,6326.244887199999,0.9658995877326797,-0.30352086491449803,219,81,31,329,167,2025
0.015,150,0.5,1.5,10.0,-0.1210613332786384,326,0.7085889570552147,-19987.77024272501,-0.19987770242725011,651.9930961749999,-9285.410123749998,6326.244887199999,0.9445754229410607,-0.31583983700464646,222,64,40,324,170,2025
0.015,150,0.6,1.0,10.0,-0.12336610245718424,327,0.6697247706422018,-9207.797320099991,-0.09207797320099992,667.8673807000001,-8717.856919025,6326.244887199999,0.9741847793497971,-0.31965011704874846,207,83,37,325,168,2025
0.0125,150,0.7,1.25,10.0,-0.12628468351372893,342,0.6578947368421053,2009.6350022750194,0.020096350022750193,731.4619021749998,-9419.55777725,10261.129225749999,1.0048726584561871,-0.31932873522513183,197,73,72,340,204,2025
0.015,150,0.6,1.5,10.0,-0.12738473620727864,322,0.6925465838509317,-14679.088491549996,-0.14679088491549996,702.2550237999999,-9285.410123749998,6326.244887199999,0.9599515409647664,-0.3276031442724393,210,67,45,320,171,2025
0.015,200,0.7,1.25,10.0,-0.13210794496912617,328,0.7073170731707317,19006.29877437501,0.19006298774375008,767.5477119875002,-12516.128751275,10967.083202575004,1.043515806870713,-0.3123788461961228,211,72,45,324,131,2025
0.015,150,0.6,1.25,10.0,-0.1344431059190071,325,0.6892307692307692,-10030.899328974985,-0.10030899328974985,687.3295629250002,-8717.856919025,6326.244887199999,0.9726835463073014,-0.3464296928983658,212,75,38,323,172,2025
0.015,150,0.5,1.25,10.0,-0.13551696608159575,329,0.7021276595744681,-17419.578824200013,-0.17419578824200013,632.6680394000001,-8717.856919025,6326.244887199999,0.9518907918574323,-0.3485286755018777,223,73,33,327,171,2025
0.0125,200,0.6,1.25,10.0,-0.13676532845912345,349,0.6819484240687679,28715.551209575005,0.2871555120957501,901.2740131500001,-9933.289032049996,12414.696824799992,1.0596440482287022,-0.3482840022646968,219,75,55,347,162,2025
0.015,200,0.7,1.5,10.0,-0.1403107413204423,325,0.7169230769230769,24051.419011875005,0.24051419011875005,827.8336348000004,-12516.128751275,10967.083202575004,1.055804116446055,-0.33343824322855775,211,64,50,321,131,2025
0.0125,200,0.7,1.25,10.0,-0.1427193013472214,349,0.667621776504298,8137.862625975022,0.08137862625975022,844.502296825,-9933.289032049996,12414.696824799992,1.0161737060523302,-0.35387651270688414,207,79,63,347,156,2025
0.015,200,0.5,1.5,10.0,-0.1476142661658441,332,0.7228915662650602,-23315.898686525008,-0.23315898686525008,758.974117125,-12516.128751275,7467.101500900003,0.9473847594507303,-0.3435999505469186,232,66,34,329,134,2025
