qty,entry_price,exit_price,raw_open,raw_high,raw_close,buy_value,sell_value,gross_pnl,net_pnl,fees,fee_brokerage,fee_exchange,fee_stt,fee_sebi,fee_stamp,fee_gst,return_pct,exit_reason,signal_date,entry_date,symbol,surge_probability,utility,atr_pct,relvol20,turnover_cr,risk_flag,selection_type,threshold_used,validation_precision,validation_recall,validation_specificity
253,342.27105,338.98042499999997,342.1,347.9,339.15,86594.57565,85762.04752499999,-832.5281250000116,-910.9554689033909,78.42734390337925,40.0,5.946303499537499,21.440511881249996,0.17235662317499997,2.5978372695,8.27033462991675,-0.010487581491473988,close_proxy,2026-07-21,2026-07-22,KARURVYSYA,0.793790876865387,6.753081717222763,0.03841148566391002,12.055643530899147,2855.1053617400003,normal,forced_fallback,0.875,0.85,0.002509151021372063,0.9998619750450881
111,770.4350249999999,793.151301712125,770.05,832.95,747.0,85518.28777499999,88039.79449004588,2521.5067150458926,2442.492110178856,79.01460486703652,40.0,5.987753838144083,22.00994862251147,0.17355808226504588,2.5655486332499997,8.277795690865934,0.02841777827794724,take_profit,2026-07-22,2026-07-23,BLUESTONE,0.8056171536445618,6.852707454527951,0.05526153506309425,9.74201721095969,2289.656911135,normal,forced_fallback,0.875,0.85,0.002509151021372063,0.9998619750450881
116,760.6801499999999,783.10880422275,760.3,792.3,772.4,88238.89739999999,90840.621289839,2601.723889839006,2521.6971608699932,80.02672896901292,40.0,6.178243394799445,22.710155322459748,0.17907951868983898,2.647166922,8.3120838110639,0.028528589879166143,take_profit,2026-07-23,2026-07-24,BLUESTONE,0.8488488793373108,7.149531047212533,0.06528494932109392,5.890014217434531,1875.0664377,normal,forced_fallback,0.875,0.85,0.002509151021372063,0.9998619750450881
114,793.3965,816.7897958025001,793.0,829.0,820.75,90447.201,93114.03672148501,2666.835721485011,2585.9874570492766,80.84826443573441,40.0,6.3328627013912335,23.278509180371252,0.18356123772148503,2.7134160300000003,8.339915286250422,0.028444442232220302,take_profit,2026-07-24,2026-07-27,BLUESTONE,0.7983912825584412,6.802169528263818,0.06763704964119259,4.6886049219968955,2011.24031056,normal,forced_fallback,0.875,0.85,0.002509151021372063,0.9998619750450881
113,826.413,756.8713750000001,826.0,834.85,757.25,93384.669,85526.465375,-7858.203624999995,-7937.049164828526,78.84553982853126,40.0,6.1724341359374995,21.38161634375,0.17891113437499997,2.8015400699999997,8.31103814446875,-0.08488857493643526,close_proxy,2026-07-27,2026-07-28,BLUESTONE,0.7617378234863281,6.329108878193297,0.06720769331186634,3.0972660580953546,1665.615030275,normal,forced_fallback,0.875,0.85,0.002509151021372063,0.9998619750450881
109,780.39,803.39979915,780.0,807.9,770.25,85062.51,87570.57810735001,2508.0681073500164,2429.2230614182213,78.84504593179508,40.0,5.955841539703575,21.892644526837504,0.17263308810734998,2.5518753,8.272051477146643,0.028391189622251043,take_profit,2026-07-28,2026-07-29,BLUESTONE,0.8355634212493896,6.33519463906803,0.07857378672829318,1.6162648747713624,869.95681825,normal,forced_fallback,0.875,0.85,0.002509151021372063,0.9998619750450881
556,158.07899999999998,153.30331,158.0,158.82,153.38,87891.92399999998,85236.64036,-2655.2836399999796,-2733.6507502294353,78.3671102294556,40.0,5.9729354704199995,21.309160090000002,0.17312856436,2.6367577199999994,8.275128384675599,-0.031067111504776358,close_proxy,2026-07-29,2026-07-30,PARADEEP,0.7785360813140869,6.534508413818375,0.0342815163627735,13.839452542853918,2711.1712681559998,large_gap,forced_fallback,0.875,0.85,0.002509151021372063,0.9998619750450881
272,312.65625,321.87491953125,312.5,327.65,321.65,85042.5,87549.9781125,2507.478112500001,2428.6405107098035,78.83760179019738,40.0,5.954440494881249,21.887494528125,0.17259247811249998,2.551275,8.271799289078624,0.02848573207421495,take_profit,2026-07-30,2026-07-31,REDINGTON,0.7189620733261108,5.74883256962963,0.03952174212666253,11.145170650503793,1744.7949284399997,large_gap,forced_fallback,0.875,0.85,0.002509151021372063,0.9998619750450881
346,253.216545,260.682634829325,253.09,261.5,240.78,87612.92457,90196.19165094646,2583.2670809464616,2503.4732270590493,79.79385388741228,40.0,6.134414509622653,22.549047912736615,0.17780911622094647,2.6283877371,8.304194611732077,0.028550178658688904,take_profit,2026-07-31,2026-08-03,SHADOWFAX,0.7392398118972778,6.134424858033513,0.060933364700347006,4.878801641809298,1767.86008455,normal,forced_fallback,0.875,0.85,0.002509151021372063,0.9998619750450881
36,2441.22,2335.4317,2440.0,2467.7,2336.6,87883.92,84075.5412,-3808.3787999999913,-3886.4066320266434,78.02783202665202,40.0,5.9326014114,21.0188853,0.17195946120000002,2.6365176,8.267868254051999,-0.043091204481215506,close_proxy,2026-08-03,2026-08-04,VINDHYATEL,0.8809477090835571,4.7625135732351245,0.047706972004076496,10.623895020474201,144.2708711,large_gap,qualified,0.86,0.6724137931034483,0.0013668863030982755,0.9998322058745607
